Date,cf_200,cf_2000
2018-01-02,0.383678,0.107935
2018-01-05,0.431216,0.165991
2018-01-07,0.873386,0.382812
2018-01-10,0.000951,0.000002
2018-01-12,0.779688,0.315190
2018-01-15,0.860735,0.436665
2018-01-20,0.533369,0.353284
2018-01-22,0.000000,0.000000
2018-01-25,0.000000,0.000000
2018-01-27,0.210963,0.067349
2018-01-30,0.606500,0.197871
2018-02-01,0.000517,0.000000
2018-02-04,0.468039,0.315600
2018-02-09,0.000000,0.000000
2018-02-11,0.520079,0.294873
2018-02-14,0.909904,0.652908
2018-02-16,0.779035,0.517084
2018-02-19,0.513480,0.370939
2018-02-21,0.827580,0.398998
2018-02-24,0.746112,0.311240
2018-02-26,0.813653,0.565838
2018-03-01,0.755176,0.246728
2018-03-03,0.727428,0.240493
2018-03-06,0.657210,0.179600
2018-03-08,0.260857,0.141421
2018-03-11,0.230731,0.026848
2018-03-13,0.750866,0.212652
2018-03-16,0.830591,0.336601
2018-03-18,0.679312,0.387381
2018-03-21,0.094824,0.013444
2018-03-23,0.561383,0.109143
2018-03-26,0.063508,0.026765
2018-03-28,0.026859,0.001072
2018-03-31,0.756365,0.161744
2018-04-02,0.822535,0.370468
2018-04-05,0.806408,0.284503
2018-04-07,0.966548,0.889277
2018-04-10,0.000000,0.000000
2018-04-12,0.691586,0.112394
2018-04-15,0.000000,0.000000
2018-04-17,0.000000,0.000000
2018-04-20,0.668371,0.227987
2018-04-22,0.725584,0.184638
2018-04-25,0.282041,0.076260
2018-04-27,0.752597,0.435919
2018-04-30,0.751871,0.119883
2018-05-02,0.036230,0.015954
2018-05-05,0.391054,0.126878
2018-05-07,0.812250,0.366597
2018-05-10,0.351186,0.100630
2018-05-12,0.787330,0.211660
2018-05-15,0.718962,0.388809
2018-05-17,0.918287,0.617818
2018-05-20,0.758965,0.142968
2018-05-22,0.825313,0.287098
2018-05-25,0.158008,0.062556
2018-05-27,0.220281,0.056093
2018-05-30,0.161099,0.072109
2018-06-01,0.207798,0.046543
2018-06-04,0.735663,0.241618
2018-06-06,0.722253,0.130348
2018-06-09,0.598455,0.136492
