Date,cf_200,cf_2000
2018-01-01,0.999439,0.994446
2018-01-06,0.980621,0.939245
2018-01-11,0.861306,0.589154
2018-01-16,0.605537,0.536132
2018-01-21,0.732954,0.558283
2018-01-26,0.965859,0.911087
2018-01-31,0.983027,0.970007
2018-02-10,0.182351,0.0264543
2018-02-15,0.000717801,0
2018-02-20,0.99823,0.981189
2018-02-25,0.981403,0.908355
2018-03-02,0.502464,0.193704
2018-03-07,0.022712,0.00303948
2018-03-12,0.851673,0.497332
2018-03-17,0.960439,0.860496
2018-03-22,0.00134806,0
2018-03-27,0.992287,0.924305
2018-04-01,0.274337,0.0345652
2018-04-06,0.991202,0.94179
2018-04-11,0.75069,0.62798
2018-04-16,1.53195e-05,0
2018-04-21,0.99944,0.995054
2018-04-26,0.999352,0.993903
2018-05-01,0.999329,0.994377
2018-05-06,0.999096,0.992816
2018-05-11,0.999357,0.994553
2018-05-16,0.99936,0.993967
2018-05-21,0.999423,0.994051
2018-05-26,0.999486,0.994804
2018-05-31,0.999536,0.994967
2018-06-05,0.999597,0.995617
2018-06-10,0.9946,0.952026
2018-06-15,0.999507,0.995182
2018-06-20,0.999414,0.995007
2018-06-25,0.999538,0.995459
2018-06-30,0.996613,0.989218
2018-07-05,0.978516,0.828036
2018-07-10,0.383955,0.338709
2018-07-15,0.160779,0.0977255
2018-07-20,0.969304,0.853854
2018-07-25,0.999235,0.994448
2018-07-30,0.999282,0.994303
2018-08-04,0.520542,0.311943
2018-08-09,1.00007,0.999352
2018-08-14,1.0001,1.0001
2018-08-19,0.999667,0.995789
2018-08-24,0.999876,0.998319
2018-08-29,0.999328,0.993825
2018-09-03,0.999781,0.997683
2018-09-08,0.999378,0.994305
2018-09-13,0.999511,0.994963
2018-09-18,0.999986,0.998939
2018-09-23,0.810464,0.676487
2018-09-28,0.192078,0.0957241
2018-10-03,0.999457,0.995439
2018-10-08,0.719425,0.602841
2018-10-13,0.211427,0.0757838
2018-10-18,0.999135,0.993506
2018-10-23,0,0
2018-10-28,0.999664,0.996314
2018-11-02,0.999177,0.993061
2018-11-07,0.999121,0.992799
2018-11-12,0.999309,0.993944
2018-11-17,0.993487,0.970622
2018-11-22,0.999383,0.993339
2018-11-27,0.999804,0.996868
2018-12-02,0.999157,0.993127
2018-12-07,0.999041,0.992162
2018-12-12,0.999132,0.992944
2018-12-17,0.932694,0.855124
2018-12-22,0.998825,0.989348
2018-12-27,0.563122,0.406177
2019-01-01,0.000712467,0
2019-01-06,0.99984,0.997278
2019-01-11,0.999197,0.993488
2019-01-16,0.999062,0.99277
2019-01-21,0.997779,0.977624
2019-01-26,0.999028,0.991127
2019-01-31,0.895922,0.716904
2019-02-05,0.975457,0.92342
2019-02-10,0.628126,0.46356
2019-02-15,0.357131,0.0763826
2019-02-20,0.999544,0.996343
2019-02-25,0.999245,0.993388
2019-03-02,0.995779,0.980825
2019-03-07,0.103837,0.0342343
2019-03-12,0.444285,0.32029
2019-03-17,0.839406,0.713527
2019-03-22,0.999007,0.992793
2019-03-27,0.181758,0.0774292
2019-04-01,0.740015,0.626435
2019-04-06,0.920362,0.83397
2019-04-11,0.451793,0.266415
2019-04-16,0.999615,0.996309
2019-04-21,0.484454,0.382518
2019-04-26,0.999172,0.993369
2019-05-01,0.999134,0.993031
2019-05-06,0.998968,0.99244
2019-05-11,0.99947,0.994836
2019-05-16,0.999309,0.994083
2019-05-21,0.999416,0.994657
2019-05-26,0.999318,0.993888
