Date,cf_200,cf_2000
2018-01-04,0.76674,0.263227
2018-01-09,0.665065,0.383619
2018-01-14,0.66914,0.454787
2018-01-19,0.706077,0.176545
2018-01-24,0.462754,0.395405
2018-01-29,0.999387,0.991329
2018-02-03,0.931566,0.775735
2018-02-08,0.996924,0.972656
2018-02-13,0.70064,0.190974
2018-02-18,0.587475,0.356355
2018-02-23,0.550288,0.110495
2018-03-05,0.851875,0.525028
2018-03-10,0.600855,0.0205858
2018-03-15,0.993237,0.936406
2018-03-20,0.708751,0.188252
2018-03-25,0.623735,0.150713
2018-03-30,0.32722,0.186766
2018-04-04,0.784604,0.471175
2018-04-09,0.787935,0.354631
2018-04-14,0.833069,0.41208
2018-04-19,0.801409,0.432654
2018-04-24,0.799856,0.391542
2018-04-29,0.910109,0.610947
2018-05-04,0.988739,0.905255
2018-05-09,0.913058,0.735324
2018-05-14,0.767015,0.268868
2018-05-19,0.841971,0.46344
2018-05-24,0,0
2018-05-29,0.0716705,0.0497537
2018-06-03,0.872349,0.796458
2018-06-08,0.999935,0.999948
2018-06-13,0.997524,0.981781
2018-06-18,0.998633,0.98963
2018-06-23,0.88028,0.554604
2018-06-28,0.997106,0.982097
2018-07-03,0.685331,0.613195
2018-07-08,0.573823,0.473165
2018-07-13,0.265862,0.18758
2018-07-18,0,0
2018-07-23,0.999651,0.999523
2018-07-28,0.999579,0.999087
2018-08-02,0.626256,0.572318
2018-08-07,0.999751,0.998919
2018-08-12,0.252266,0.152276
2018-08-17,0.685791,0.562582
2018-08-22,0.997873,0.983215
2018-08-27,0.988794,0.963585
2018-09-01,0.999219,0.987306
2018-09-06,0.999931,0.999948
2018-09-11,0.999846,0.999948
2018-09-21,0.187259,0.0551214
2018-09-26,0.689653,0.556934
2018-10-01,0.938487,0.785971
2018-10-06,0.757794,0.324981
2018-10-11,0.390292,0.195011
2018-10-16,0.312372,0.186986
2018-10-21,0.807302,0.394058
2018-10-26,0.69789,0.127746
2018-10-31,0.782224,0.384521
2018-11-05,0.629359,0.126313
2018-11-10,0.858121,0.352348
2018-11-15,0.534829,0.0444345
2018-11-20,0.922094,0.655777
2018-11-25,0.835562,0.440851
2018-11-30,0.70856,0.177098
2018-12-05,0.764617,0.287698
2018-12-10,0.736691,0.327082
2018-12-15,0.758242,0.286306
2018-12-20,0.897028,0.580144
2018-12-25,0.807627,0.515837
2018-12-30,0.0129994,0.00459639
2019-01-04,0.628302,0.327815
2019-01-09,0.0520743,0.0100506
2019-01-14,0.443703,0.267829
2019-01-19,0.875645,0.574988
2019-01-24,0.490135,0.0888963
2019-01-29,0.654432,0.406747
2019-02-03,0.495984,0.208092
2019-02-08,0.870684,0.492525
2019-02-13,0.661197,0.161609
2019-02-18,0.916356,0.787734
2019-02-23,0.809116,0.333073
2019-02-28,0.770077,0.340502
2019-03-05,0.969784,0.881955
2019-03-10,0.993871,0.953439
2019-03-15,0.855018,0.485343
2019-03-20,0.996175,0.956441
2019-03-25,0.943435,0.746492
2019-03-30,0.416318,0.0281103
2019-04-04,0.707368,0.239847
2019-04-09,0.824684,0.364356
2019-04-14,0.853652,0.44152
2019-04-19,0.88004,0.710286
2019-04-24,0.850124,0.680485
2019-04-29,0.974319,0.789576
2019-05-04,0.908054,0.62909
