Date,cf_200,cf_2000
2019-10-10,0.822538,0.241107
2019-10-20,0.672226,0.320025
2019-10-25,0.804848,0.37728
2019-10-30,0.590141,0.25264
2019-11-04,0,0
2019-11-09,0.781426,0.159476
2019-11-14,0.837246,0.408378
2019-11-19,0.51323,0.111092
2019-11-24,0.871255,0.527729
2019-11-29,0.632839,0.0649939
2019-12-04,0.785668,0.333667
2019-12-09,0.342288,0.218864
2019-12-14,0.733237,0.327778
2019-12-19,0.717272,0.273325
2019-12-24,0.889224,0.597915
2019-12-29,0.855543,0.456892
2020-01-03,0.987136,0.868038
2020-01-08,0.814111,0.353564
2020-01-13,0.716131,0.284526
2020-01-18,0.834615,0.592141
2020-01-23,0.918895,0.620251
2020-01-28,0.315298,0.0221826
2020-02-02,0.781934,0.505689
2020-02-07,0.870965,0.440361
2020-02-12,0.264866,0.0721594
2020-02-17,0.342985,0.0630754
2020-02-22,0.0849763,0.00197936
2020-02-27,0.734596,0.476128
2020-03-03,0.578088,0.262968
2020-03-08,0.790957,0.40199
2020-03-13,0.795581,0.293986
2020-03-18,0.747585,0.240885
2020-03-23,0.341523,0.139083
2020-03-28,0.0417204,0.00764605
2020-04-02,0.423347,0.240473
2020-04-07,0.420702,0.0557455
2020-04-12,0.923401,0.568905
2020-04-17,0.19996,0.0520198
2020-04-22,0.995027,0.985037
2020-04-27,0.61807,0.451681
2020-05-02,0.27093,0.0313255
2020-05-07,0.892581,0.718317
2020-05-12,0.357496,0.267724
2020-05-17,0.678029,0.435305
2020-05-22,0.785166,0.364457
2020-05-27,0.22086,0.0494285
2020-06-01,0.898097,0.671855
2020-06-06,0.730219,0.247962
2020-06-11,0.556678,0.2393
2020-06-16,0.016007,0.00204746
2020-06-21,0.194279,0.134432
2020-06-26,0.757351,0.18963
2020-07-01,0,0
2020-07-06,0.273012,0.0689472
2020-07-11,0.660144,0.448693
2020-07-16,0.708841,0.23193
2020-07-21,0.518683,0.176487
2020-07-26,0.887399,0.504275
2020-07-31,0.774549,0.210564
2020-08-05,0.56768,0.200065
2020-08-10,0.751021,0.301948
2020-08-15,0.537553,0.446633
2020-08-20,0.410632,0.119656
2020-08-25,0.716211,0.115994
2020-08-30,0.2793,0.115765
2020-09-04,0.722202,0.148019
2020-09-09,0.101837,0.0515381
2020-09-14,0.843148,0.585551
2020-09-19,0.866322,0.394538
2020-09-24,0.0482144,0.000975881
2020-09-29,0.889742,0.473721
2020-10-04,0.949362,0.747408
2020-10-09,0.901073,0.595327
2020-10-14,0.643355,0.127841
2020-10-19,0.838989,0.395881
2020-10-24,0.800149,0.236909
2020-10-29,0.0237894,0.00317919
2020-11-03,0.630048,0.278153
2020-11-08,0.360413,0.0190359
2020-11-13,0.474528,0.125647
2020-11-18,0.763251,0.27103
2020-11-23,0.228046,0.0655609
2020-11-28,0.516364,0.0948267
2020-12-03,0.682362,0.168919
2020-12-08,0.778177,0.555038
2020-12-13,0.0374813,0.000953876
2020-12-18,0,0
2020-12-23,0.00236822,0
2020-12-28,0.618539,0.259366
2021-01-02,0.0839659,0.0107901
2021-01-07,0.739418,0.229896
2021-01-12,0.797199,0.32241
2021-01-17,0.839455,0.330837
2021-01-22,0.609105,0.114967
2021-01-27,0.797227,0.420392
2021-02-01,0.970043,0.860671
2021-02-06,0.502677,0.318748
2021-02-11,0.258331,0.0540703
2021-02-16,0.962486,0.773374
2021-02-21,0.730727,0.135927
2021-02-26,0.523556,0.18478
2021-03-03,0.164847,0.0259719
2021-03-08,0.790021,0.36968
2021-03-13,0.000904049,0
2021-03-18,0.570999,0.286141
2021-03-28,0.466011,0.114495
2021-04-02,0.574002,0.141636
2021-04-07,0.782161,0.299612
2021-04-12,0.375152,0.0561399
2021-04-17,0.752701,0.241067
2021-04-22,0.585823,0.213822
2021-04-27,0.115426,0.0103774
2021-05-02,0,0
2021-05-07,0.232273,0.0376912
2021-05-12,0.799685,0.417644
2021-05-17,0.268243,0.103453
2021-05-22,0.48321,0.102978
2021-05-27,0.000301371,0
2021-06-01,0.108335,0.0384623
2021-06-06,0.674412,0.433115
2021-06-11,0.738661,0.376793
2021-06-16,0.724277,0.254469
2021-06-21,0.180067,0.0852214
2021-06-26,0.0881386,0.00989864
2021-07-01,0.657554,0.428056
2021-07-06,0.630647,0.149174
2021-07-11,0.634917,0.241319
2021-07-16,0.420008,0.0737496
2021-07-21,0.531223,0.351629
2021-07-26,0.725515,0.554202
2021-07-31,0.873368,0.420084
2021-08-05,0.790171,0.565768
2021-08-10,0.302583,0.0439127
2021-08-15,0.0466236,0.00653504
2021-08-20,0.708967,0.31308
2021-08-25,0.754419,0.221771
2021-08-30,0.475466,0.0876511
2021-09-04,0,0
2021-09-09,0.711357,0.417227
2021-09-14,0.62983,0.384001
2021-09-19,0.754285,0.167443
2021-09-24,0.850776,0.314545
2021-09-29,0.599089,0.327769
2021-10-04,0.893135,0.442159
2021-10-09,0.662651,0.0437789
2021-10-14,0.196724,0.00142028
2021-10-19,0.912132,0.599202
2021-10-24,0.305415,0.0449554
2021-10-29,0.424195,0.0401635
2021-11-03,0.686035,0.111722
2021-11-13,0.750756,0.469959
2021-11-18,0.311462,0.0706562
2021-11-23,0.817462,0.327412
2021-11-28,0.727258,0.107916
2021-12-03,0.76802,0.325292
2021-12-08,0,0
2021-12-18,0.0229359,0.00107915
2021-12-23,0.260932,0.0900766
2021-12-28,0.0026357,1.21027e-05
